Hands,Evaluation,Probability
"('JH', '5S', '7H', '5D', 'AC')", One pair ,8.4
"('4C', '9C', 'JS', '5S', 'QD')", No pair ,0.0
"('3H', '6H', '8H', '4H', '10D')", No pair ,0.0
"('9H', '10S', '3C', '2S', '7D')", No pair ,0.0
"('3C', '6S', '4D', '7S', '7H')", One pair ,10.0
"('2H', '9H', '4D', '5C', 'KD')", No pair ,0.0
"('3C', '10S', '5S', 'KH', '4H')", No pair ,0.0
"('8S', 'KD', 'KH', '9S', '9H')", Two pair ,82.6
"('6C', '2C', '10D', '6S', 'QC')", One pair ,10.4
"('2S', '7D', 'AD', '5H', 'QD')", No pair ,1.6
"('2C', '6D', 'AH', '4D', 'JH')", No pair ,0.6
"('5C', 'AS', 'JD', '10C', 'JH')", One pair ,38.4
"('JD', '6C', '3S', '10C', '6D')", One pair ,10.4
"('6D', 'KH', '9D', '10S', '2D')", No pair ,0.4
"('KH', '9C', 'QC', '3D', 'JC')", No pair ,0.0
"('7C', '10D', 'JS', '2H', 'AC')", No pair ,0.6
"('7D', '3C', '4S', '4D', 'JH')", One pair ,5.6
"('JD', '8H', 'JS', 'KC', '6D')", One pair ,36.8
"('3D', 'JH', '3C', 'QS', '10C')", One pair ,5.8
"('2D', '9D', 'QH', '2C', '10H')", One pair ,3.0
"('2S', 'JH', 'QH', 'AH', '4H')", No pair ,2.2
"('9C', 'QC', '7S', '3H', '6S')", No pair ,0.0
"('2H', 'JD', '4H', 'JS', '7C')", One pair ,29.0
"('9C', '10H', 'QS', '7C', 'JC')", No pair ,0.0
"('8C', 'AS', '7C', 'JS', '5H')", No pair ,0.8
"('AD', '8S', '10H', '5D', 'QD')", No pair ,0.4
"('5D', 'JH', '6S', '10H', 'QC')", No pair ,0.0
"('8H', '10D', '5D', '8C', '7S')", One pair ,15.0
"('7H', '7D', 'JH', 'AS', '2S')", One pair ,13.2
"('7D', 'AD', '6H', '3D', 'AH')", One pair ,66.0
"('QD', 'QC', '8D', '6C', '3C')", One pair ,42.8
"('JC', '2S', 'JH', 'QH', '9D')", One pair ,35.8
"('9H', 'AC', 'QC', '7S', '10S')", No pair ,1.8
"('QS', 'JS', '10H', '3S', '9D')", No pair ,0.0
"('AS', 'QS', '6H', 'QH', 'AC')", Two pair ,86.4
"('2C', '9C', '8S', 'AH', '10H')", No pair ,0.2
"('5S', '7S', 'KH', '5D', '6D')", One pair ,8.8
"('7S', 'JS', 'AS', 'QD', '10H')", No pair ,2.8
"('AD', 'QS', 'JH', '4H', '10H')", No pair ,2.4
"('7D', '6C', '10D', 'AS', 'AC')", One pair ,71.4
"('JH', '4S', '7S', '10S', '2C')", No pair ,0.0
"('4H', '10S', 'AS', '3S', 'AH')", One pair ,73.2
"('4H', '8C', 'QD', '2H', 'QS')", One pair ,46.8
"('AD', '3C', '9D', '10D', '7C')", No pair ,0.4
"('9C', '4D', '10C', 'KC', '10S')", One pair ,28.2
"('4D', '9C', '4C', '8S', '10D')", One pair ,6.0
"('9C', '4H', '6D', '7S', '7H')", One pair ,10.0
"('JD', '7D', '4H', 'KC', '2D')", No pair ,0.0
"('7D', '7C', '9C', '2S', 'AH')", One pair ,12.6
"('JC', '4D', '5C', '7D', '4S')", One pair ,6.0
"('9C', '4S', 'JS', 'QC', '3C')", No pair ,0.0
"('QD', '5H', '2S', '2C', '4S')", One pair ,3.6
"('7S', 'AH', '3H', 'AD', 'KC')", One pair ,71.6
"('8S', '4H', '2H', 'QC', '7D')", No pair ,0.0
"('5D', '4C', 'KC', 'JH', '10S')", No pair ,0.2
"('3D', '4C', 'QH', '5D', 'AC')", No pair ,1.0
"('7H', 'QH', '6C', 'AH', '8C')", No pair ,1.6
"('JD', '7H', '9H', '8H', '10H')", Straight ,96.6
"('4D', '7S', '9S', '2D', '3S')", No pair ,0.0
"('3S', '4C', '9S', '3H', '5S')", One pair ,3.0
"('AH', 'JD', '4H', '10D', '7D')", No pair ,0.8
"('JC', '7S', 'KD', '8D', 'KS')", One pair ,53.0
"('9D', 'QH', '9S', 'KS', 'AH')", One pair ,32.2
"('4D', '5C', '3D', 'KH', 'KC')", One pair ,55.6
"('KH', '2C', '8S', '7C', '4C')", No pair ,0.0
"('3D', 'JC', '6S', '8D', '4H')", No pair ,0.0
"('8C', '10H', 'AD', 'QD', '8H')", One pair ,22.2
"('10S', '5C', '4D', 'QH', '6C')", No pair ,0.0
"('10S', '2C', '10H', '9H', '7S')", One pair ,23.6
"('7C', '6C', 'AD', '7D', '8H')", One pair ,11.6
"('4C', '2C', '6C', 'JC', 'AH')", No pair ,0.4
"('8H', '3D', '8S', '7H', '3H')", One pair ,6.0
"('3S', '7S', '6C', '2S', '9S')", No pair ,0.0
"('8S', '5C', '3S', '10D', '3D')", One pair ,3.6
"('8S', '9S', '8C', '7C', '5D')", One pair ,14.0
"('AD', '8C', '6S', 'AC', 'AS')", Three of a kind,95.6
"('9C', '5D', '4C', '2D', '10D')", No pair ,0.0
"('10S', 'AS', '9D', '7D', 'JD')", No pair ,0.8
"('6D', '8D', 'AS', '10D', '8C')", One pair ,19.2
"('3S', '2C', 'KC', '5H', '10C')", No pair ,0.0
"('4H', 'AD', '9D', '2D', '6D')", No pair ,0.8
"('AC', '10C', '4C', '7S', 'QS')", No pair ,0.8
"('8H', '6S', '7S', 'KH', 'JD')", No pair ,0.0
"('KD', 'JC', '10D', '7C', 'AH')", No pair ,3.4
"('6S', '9C', '2S', '6D', 'JC')", One pair ,11.6
"('8C', '7H', '7D', '4S', 'AS')", One pair ,12.2
"('10H', '9S', '3C', '7D', '4S')", No pair ,0.0
"('5H', 'QD', 'QC', '3H', '2C')", One pair ,39.2
"('QH', '6D', '8H', 'AH', '3S')", No pair ,1.4
"('KC', '5C', 'JH', '2H', '5H')", One pair ,6.6
"('6S', 'QC', '3H', '6C', '7H')", One pair ,11.8
"('6S', '8C', '6H', 'AC', '8H')", Two pair ,73.6
"('7S', '9S', '9C', 'JC', 'AC')", One pair ,23.0
"('6D', 'KS', '9D', '2H', '7H')", No pair ,0.0
"('4C', 'AS', '4H', 'QD', 'JD')", One pair ,7.0
"('5H', '6S', '7S', '2D', '7H')", One pair ,12.2
"('8D', 'JS', '9S', '4S', '7S')", No pair ,0.0
"('3S', '7C', 'JC', '5C', '7H')", One pair ,11.8
"('6H', 'AH', '2S', 'QS', '2C')", One pair ,4.2
"('4C', 'JC', 'KH', 'KC', '9C')", One pair ,54.4
"('AH', '3H', '8C', 'QD', 'JC')", No pair ,1.8
"('7D', '5S', '10H', '9S', '7S')", One pair ,10.6
"('10H', 'JH', '9S', '7D', '2C')", No pair ,0.0
"('4H', 'KH', 'AS', 'AD', '6D')", One pair ,70.6
"('10H', 'AS', '7S', 'JS', '4H')", No pair ,1.0
"('8C', '6S', '9C', '3D', '4H')", No pair ,0.0
"('7S', '5D', '7D', '2H', 'AC')", One pair ,12.2
"('3H', 'KD', '10H', 'AC', '6D')", No pair ,3.4
"('3C', '8C', 'QC', 'AH', '10S')", No pair ,1.0
"('3S', '5H', '7D', 'AD', '7S')", One pair ,10.6
"('10S', '7H', '5H', '4C', '4S')", One pair ,5.6
"('7H', '8C', '8S', '2D', '6D')", One pair ,11.2
"('6C', '3D', '7S', '4S', '2H')", No pair ,0.0
"('AH', '7C', '2C', '10S', 'KS')", No pair ,2.4
"('6S', 'JS', '5S', 'KD', '7H')", No pair ,0.2
"('5H', 'JD', '7H', '2D', 'JS')", One pair ,30.6
"('KS', 'AD', 'AS', '9S', '9C')", One pair ,25.4
"('5S', '5C', 'JD', '9C', '9D')", Two pair ,78.0
"('8H', '8S', '3C', '5C', 'JD')", One pair ,15.2
"('10H', 'KD', '7D', '3H', '10D')", One pair ,26.8
"('JS', 'KS', '4H', '7C', 'QD')", No pair ,0.0
"('9H', '4H', '2H', 'AC', 'JD')", No pair ,0.4
"('KC', '2H', 'QH', '9C', '3H')", No pair ,0.0
"('6S', '10S', '6C', 'AD', '5S')", One pair ,12.0
"('AS', 'QD', '7S', '6S', '9S')", No pair ,0.4
"('10C', '5H', '3S', 'JD', '3C')", One pair ,5.2
"('3S', '7H', '9H', 'JD', '9S')", One pair ,17.8
"('2H', '10S', 'AD', '6S', 'KS')", No pair ,2.4
"('5D', '9D', '5C', '10D', '7C')", One pair ,10.2
"('JS', '3S', '2S', 'KC', '10S')", No pair ,0.0
"('2D', 'QD', '10H', '7H', '5H')", No pair ,0.0
"('KS', '6D', '2C', '7D', 'KC')", One pair ,55.0
"('7C', '5D', 'KC', 'AS', '6H')", No pair ,2.2
"('2S', '6C', '6D', '8D', 'KC')", One pair ,11.6
"('7S', '7H', '9D', '4S', '7C')", Three of a kind,87.2
"('4S', 'KD', '3H', '9H', 'JC')", No pair ,0.0
"('9S', 'KS', 'JD', '10H', '8H')", No pair ,0.0
"('KH', '2H', '10D', '4C', 'QC')", No pair ,0.0
"('JH', '10C', '7D', '5H', '3H')", No pair ,0.0
"('2C', 'JC', '9C', '8H', '10H')", No pair ,0.0
"('9H', 'QC', 'JH', '5D', '7D')", No pair ,0.0
"('4D', '10S', 'AS', '3S', '2D')", No pair ,0.0
"('5S', 'JC', '7D', 'JH', '3C')", One pair ,29.8
"('5D', 'JS', '9D', 'AH', 'QC')", No pair ,2.0
"('AH', '5S', '3H', '9C', '6H')", No pair ,1.0
"('7D', 'QH', 'JS', '6C', '7C')", One pair ,15.8
"('8D', '7S', '3C', '3H', '9D')", One pair ,2.6
"('KD', '4D', 'AC', '6H', '3D')", No pair ,1.4
"('4C', 'QS', '7D', 'AD', '5H')", No pair ,1.0
"('10H', '3S', '3D', '3C', '3H')", Four of a kind ,99.6
"('9D', 'KS', '2C', '5H', '9H')", One pair ,22.4
"('4D', '3C', '5D', 'QC', '8C')", No pair ,0.0
"('10H', '6S', '8H', 'KC', '9S')", No pair ,0.0
"('8H', 'KH', '10S', '4S', '3C')", No pair ,0.0
"('QD', 'QH', 'KC', '9H', 'AC')", One pair ,58.8
"('9C', 'KC', '7C', '4C', '9S')", One pair ,22.8
"('5S', '8H', '8D', '7S', '2D')", One pair ,12.8
"('3D', '10S', '4H', '9C', 'KS')", No pair ,0.0
"('KH', '4C', 'JS', 'AS', '8S')", No pair ,3.0
"('KD', '5H', 'JD', '6H', '6D')", One pair ,9.4
"('4S', '3H', '4H', 'KH', '5C')", One pair ,3.4
"('QC', 'KC', '6H', '2C', 'KH')", One pair ,59.8
"('3C', '9S', 'JD', 'JS', '7C')", One pair ,27.6
"('3H', '3C', 'KH', '2D', '8S')", One pair ,4.0
"('AS', '8C', '10D', 'QH', '5C')", No pair ,1.8
"('AD', 'JD', '7S', '8D', '9S')", No pair ,0.8
"('7H', 'KD', 'JS', '2D', 'KS')", One pair ,54.4
"('7D', '2C', '8D', '2D', '3D')", One pair ,2.4
"('8C', 'QC', '4S', '8S', '9H')", One pair ,19.0
"('9H', '7S', '5H', 'QS', '2D')", No pair ,0.0
"('10H', '7C', 'JS', '2H', '4S')", No pair ,0.0
"('9D', '3S', 'KH', '10S', '6C')", No pair ,0.0
"('4C', '8C', '10D', '3H', '6H')", No pair ,0.0
"('KC', '4C', '10S', '8S', '6H')", No pair ,0.0
"('5S', '10D', '5D', '9S', '7H')", One pair ,8.4
"('5D', '3S', '2H', '6D', '6H')", One pair ,5.2
"('JH', '8D', '4S', 'QS', '10C')", No pair ,0.0
"('8H', 'JC', '3S', '7S', 'KC')", No pair ,0.0
"('KC', 'QH', '2H', 'AH', '10S')", No pair ,3.6
"('3S', '9D', '2S', '6H', 'AD')", No pair ,0.2
"('3C', '9S', 'KH', '4C', '5C')", No pair ,0.0
"('QH', '3H', 'AS', '6H', 'KH')", No pair ,2.6
"('9S', '3H', '10D', 'JD', '10S')", One pair ,27.6
"('2S', 'AS', '9D', '7H', '6C')", No pair ,0.4
"('4D', 'QD', '2H', '7D', '8H')", No pair ,0.0
"('JH', '7C', 'KC', '8H', 'JC')", One pair ,38.2
"('5H', '5C', '2D', 'JS', '10H')", One pair ,6.0
"('8C', '10H', 'KD', 'QH', '7D')", No pair ,0.2
"('9S', '7S', '4D', '9H', 'JS')", One pair ,19.6
"('5S', '8S', '2D', '5D', '3H')", One pair ,5.6
"('QH', 'JS', '8S', 'QD', '10H')", One pair ,43.0
"('8D', 'QH', 'JD', 'JS', 'QC')", Two pair ,80.6
"('AC', '5C', '2C', '10D', '7H')", No pair ,0.4
"('3H', '7D', '2H', '2D', '9C')", One pair ,2.4
"('8S', '9D', '2S', '9H', '5S')", One pair ,19.8
"('6D', '7H', '2H', '7S', 'AD')", One pair ,11.0
"('AH', '5S', '2D', '7D', 'JS')", No pair ,0.6
"('3S', 'AH', '4H', '7H', '9C')", No pair ,0.8
"('JC', '5S', 'JD', '8C', '6H')", One pair ,29.8
"('8C', '7S', '9S', 'KS', '10H')", No pair ,0.0
"('2D', '5S', '4D', '2C', '9C')", One pair ,4.0
"('AH', '4C', 'QD', '5D', '4D')", One pair ,8.2
"('8D', 'AD', 'AC', '5D', 'KH')", One pair ,70.0
"('6D', 'QD', '2S', '8D', 'KS')", No pair ,0.0
"('2C', '6C', '8S', '8D', '9S')", One pair ,16.6
"('5H', 'KS', '5D', 'AD', 'JH')", One pair ,7.4
"('AD', '4S', '8S', '9D', '6D')", No pair ,0.4
"('5H', '6H', '3C', '6S', '6D')", Three of a kind,86.0
"('3D', '6H', '8D', '7H', 'QD')", No pair ,0.0
"('2C', 'JD', 'KC', '9C', '7C')", No pair ,0.0
"('7D', '2H', '5C', '5H', '10C')", One pair ,8.8
"('9H', '6C', '4S', 'AH', '6S')", One pair ,9.8
"('JD', 'JC', '4D', '2D', '9C')", One pair ,29.6
"('JC', '9D', '4S', '3H', '6S')", No pair ,0.0
"('2H', '5H', '5C', 'AH', '7C')", One pair ,6.6
"('2S', 'KC', '2H', '10C', '4D')", One pair ,2.8
"('AD', '10D', '9H', 'JH', '7H')", No pair ,0.6
"('AC', 'KC', 'KS', '10D', 'QH')", One pair ,63.6
"('6C', '9D', 'AS', '10D', '3C')", No pair ,0.2
"('6H', '3D', '9H', 'JH', '6D')", One pair ,10.8
"('2H', 'QC', 'JH', '5S', 'AS')", No pair ,2.0
"('KC', '4S', 'JD', '9D', '10D')", No pair ,0.0
"('JS', '6D', '5H', 'KS', '2S')", No pair ,0.0
"('JD', '5H', '4C', '10C', '6C')", No pair ,0.0
"('6C', '6H', '5H', '4C', '10S')", One pair ,7.8
"('6S', '7H', '10S', '10D', 'JH')", One pair ,26.4
"('3D', '3C', '9D', 'AS', '2H')", One pair ,2.4
"('QC', '4S', '6D', 'KD', 'KC')", One pair ,61.8
"('5C', 'AH', 'KS', '4H', 'JS')", No pair ,3.0
"('QD', '2H', '8S', '8H', '9H')", One pair ,19.2
"('KS', '5D', 'AH', '4H', '2C')", No pair ,1.0
"('2D', '3H', '8H', 'QH', 'KS')", No pair ,0.2
"('JH', 'QC', '9C', '3D', '6C')", No pair ,0.0
"('7S', '2S', '9S', '3D', 'JD')", No pair ,0.0
"('3S', '4H', '5S', '9D', '10H')", No pair ,0.0
"('8D', '3D', '2C', '3C', '4D')", One pair ,2.8
"('7S', '3D', 'AH', '6H', '2C')", No pair ,0.2
"('JS', '5S', '2D', '6H', '8H')", No pair ,0.0
"('JH', 'KH', '9H', '8H', '4C')", No pair ,0.0
"('4S', '5H', '5S', 'QS', '4D')", Two pair ,69.0
"('6C', '9S', '2S', 'KD', 'QS')", No pair ,0.0
"('5D', '4D', 'AS', '2S', 'QS')", No pair ,1.0
"('7H', 'QS', '5S', '3H', 'AD')", No pair ,0.8
"('6D', '5S', 'AC', '8D', '8S')", One pair ,14.2
"('QD', '5C', '5H', '3C', 'AD')", One pair ,9.4
"('JC', '3D', 'AC', '5S', '4S')", No pair ,0.6
"('QD', 'QC', '5H', '2D', '6D')", One pair ,44.0
"('10D', '4D', '2D', '9S', '5H')", No pair ,0.0
"('4D', '10H', '2C', 'QH', '9C')", No pair ,0.0
