Hands,Evaluation,Probability
"('AH', 'JH', '10D', '5C', '2S')", No pair ,0.6
"('5S', 'AD', '10D', '5C', '3S')", One pair ,7.8
"('4H', '7C', '6C', 'AC', '9H')", No pair ,0.2
"('KH', 'AS', 'QD', 'KC', '5C')", One pair ,66.6
"('QC', '7S', 'JD', '9S', '10C')", No pair ,0.0
"('9S', 'AS', '10C', '3H', 'KC')", No pair ,1.4
"('2C', 'JS', '9H', '5H', 'KS')", No pair ,0.0
"('10S', '6C', 'AD', '10H', 'JC')", One pair ,35.6
"('JD', '5H', '6C', '9C', 'QH')", No pair ,0.0
"('JH', '3D', '2C', '7C', 'KS')", No pair ,0.0
"('10C', '9D', 'JH', '7H', 'QC')", No pair ,0.0
"('8D', '10S', 'AD', '9H', 'AS')", One pair ,69.2
"('8H', '9D', '4H', 'QH', '2D')", No pair ,0.0
"('5C', '10C', 'AC', '10H', '2C')", One pair ,28.0
"('8D', '6D', 'JH', '5H', '7H')", No pair ,0.0
"('4H', 'QH', '3C', '2D', 'JS')", No pair ,0.0
"('7H', '9C', '6S', 'QD', 'AD')", No pair ,0.6
"('JH', 'KS', '4D', 'AH', '10C')", No pair ,3.0
"('AH', 'JD', '7S', '8H', '3C')", No pair ,0.8
"('9H', '3C', '6C', 'AH', '8H')", No pair ,0.2
"('3H', '7C', '9D', 'QS', '5D')", No pair ,0.0
"('AH', 'AC', 'QH', '7C', 'QD')", Two pair ,84.2
"('7C', '3D', '8C', 'QH', 'JH')", No pair ,0.0
"('10H', 'QD', '7H', '9S', '10C')", One pair ,29.2
"('QH', '7S', '8S', '10H', 'AD')", No pair ,0.8
"('AC', '6D', 'KS', '7S', '7H')", One pair ,12.8
"('8H', 'JS', 'KC', '6C', '10C')", No pair ,0.0
"('KH', '5D', '7C', '7S', '10D')", One pair ,12.6
"('8C', '2D', '9S', 'AD', '9D')", One pair ,20.4
"('10H', '4C', 'JD', 'QS', '9C')", No pair ,0.2
"('4S', '5H', '2H', '2C', '5C')", One pair ,3.4
"('QD', '8H', '5H', '5C', 'JC')", One pair ,8.6
"('KH', '2H', '9S', 'JC', 'JS')", One pair ,37.4
"('9S', 'AS', '3H', 'JS', '7H')", No pair ,0.8
"('2S', 'AH', '2C', 'QS', '6C')", One pair ,3.6
"('6C', '5H', '10H', '2D', '9D')", No pair ,0.0
"('9H', '9D', 'JS', '5S', '10H')", One pair ,24.4
"('2H', '8H', '5S', '7C', 'QH')", No pair ,0.0
"('9S', '10S', '4D', '3S', '6S')", No pair ,0.0
"('AC', '7S', '10S', '4S', '3D')", No pair ,0.4
"('2H', '7D', '10D', '3C', '8H')", No pair ,0.0
"('8S', '8H', '10S', '10D', '7C')", Two pair ,78.4
"('7H', 'JC', '9H', '9S', '8H')", One pair ,17.8
"('9H', '7S', '2C', '5S', '9D')", One pair ,18.8
"('9S', '9C', '2S', '5H', '2D')", One pair ,1.8
"('AD', '7H', 'KC', 'AC', 'QS')", One pair ,71.8
"('10H', '9S', '5D', '4C', '2D')", No pair ,0.0
"('8S', '5S', '4S', 'QH', 'QS')", One pair ,44.2
"('AS', 'KS', 'AD', '2H', '7D')", One pair ,68.0
"('JD', '7D', 'AH', '5D', '10C')", No pair ,0.2
"('KS', '8S', 'KC', '3C', '5S')", One pair ,55.0
"('8S', '2C', 'QS', '10C', 'AS')", No pair ,1.0
"('2C', 'QC', '9D', '10C', '5C')", No pair ,0.0
"('QH', '3C', '4C', '8S', 'JH')", No pair ,0.2
"('5C', '7S', '8H', 'KC', 'QS')", No pair ,0.0
"('7S', '6S', 'AS', 'KC', '5D')", No pair ,2.0
"('6H', '9D', '3C', '2H', 'KC')", No pair ,0.2
"('10H', 'KC', '5D', '9H', '2S')", No pair ,0.0
"('4C', 'QD', '4H', 'QC', '8C')", One pair ,5.8
"('3D', 'JS', '7H', '2H', 'KC')", No pair ,0.0
"('8H', 'KD', '10S', '2D', 'JH')", No pair ,0.2
"('10S', '2H', '2C', '3H', '3S')", Two pair ,71.0
"('5S', '8C', '9D', '2H', 'AD')", No pair ,0.2
"('8S', '5H', 'JH', '9S', '8C')", One pair ,20.0
"('8S', '7C', '6D', '2S', 'KD')", No pair ,0.0
"('QS', 'KD', '2H', '6D', 'KC')", One pair ,55.8
"('9S', '3D', '5D', '10H', '7H')", No pair ,0.0
"('2S', '3H', '10S', 'KD', 'JS')", No pair ,0.0
"('QD', 'KH', 'QH', '10S', '6D')", One pair ,51.8
"('9D', '8H', '7D', '7H', '3H')", One pair ,12.8
"('10H', 'JD', '9H', '2H', '3C')", No pair ,0.0
"('KC', '8C', '7C', '5C', '10C')", Flush ,99.2
"('8C', '10D', '9S', '9H', '3C')", One pair ,18.6
"('10C', '9S', '3C', '2S', '4D')", No pair ,0.0
"('10D', 'AD', 'KD', 'JC', '3H')", No pair ,1.8
"('QH', '6D', '4H', '10C', 'QD')", One pair ,42.4
"('6D', '6C', '4D', 'KH', '9C')", One pair ,9.4
"('3C', '5H', '6D', '5C', '4C')", One pair ,6.4
"('7H', '10D', 'QS', '5S', '2H')", No pair ,0.0
"('9D', '10D', 'JH', '5C', '2S')", No pair ,0.0
"('8C', 'AS', '10C', '4H', '10D')", One pair ,25.0
"('7S', 'KS', 'KH', '4S', '2H')", One pair ,51.4
"('3C', '2C', 'AS', '5H', '7C')", No pair ,0.2
"('2C', '5H', '9H', 'JS', '4H')", No pair ,0.0
"('3C', '9C', '6S', '4S', '7S')", No pair ,0.0
"('8D', '4D', 'KD', '9D', '7H')", No pair ,0.0
"('KC', '10D', '5S', 'AH', '3S')", No pair ,3.2
"('2D', 'KH', '10S', '5H', 'KC')", One pair ,56.2
"('AC', '4S', '3H', 'AS', '9D')", One pair ,73.2
"('3S', '8C', '4C', '2H', 'KS')", No pair ,0.0
"('5H', '3D', '9D', '4C', '4S')", One pair ,5.4
"('2D', '8S', 'AH', 'QC', '9S')", No pair ,1.2
"('7C', 'AC', '2D', '6H', '3D')", No pair ,0.6
"('2D', '5D', '7H', 'JH', 'KC')", No pair ,0.0
"('3S', '3H', '4H', 'AC', 'QC')", One pair ,3.2
"('7C', '3D', '6S', 'QH', '3S')", One pair ,2.4
"('10D', 'JC', 'AC', '5H', 'AD')", One pair ,67.8
"('10S', '5C', '10H', '7S', '6D')", One pair ,22.2
"('6S', '2C', 'QS', 'JC', '9C')", No pair ,0.0
"('KS', 'QC', '2H', '6S', '3D')", No pair ,0.0
"('2S', 'JS', '4H', '4D', '3C')", One pair ,5.2
"('3S', 'JC', '7D', '6C', '4S')", No pair ,0.0
"('AS', '10H', '10S', 'QD', '5S')", One pair ,31.2
"('6H', '6S', '5S', '5C', 'QS')", Two pair ,71.0
"('8C', 'JH', 'QH', '4H', 'QD')", One pair ,42.0
"('8H', '3S', '5C', 'AC', 'QC')", No pair ,1.2
"('6H', '2H', '9H', '4S', '10C')", No pair ,0.0
"('AD', '2C', '6S', '8H', '4D')", No pair ,0.2
"('JH', 'QD', '6H', '6C', '7C')", One pair ,13.4
"('7S', '4C', 'KD', 'KH', '5D')", One pair ,53.0
"('KC', 'KH', '3H', '6H', '10D')", One pair ,55.0
"('KS', '9H', '4S', '7S', 'QS')", No pair ,0.0
"('QD', '4H', 'KD', '6S', '8S')", No pair ,0.0
"('4D', '5H', '4S', '8S', '6C')", One pair ,6.0
"('2S', 'JD', '9D', '7H', '2D')", One pair ,2.6
"('8S', 'AH', '4C', '3H', '8D')", One pair ,15.4
"('9D', '6H', 'KD', '3H', '3S')", One pair ,4.0
"('8H', '7D', '9D', '2C', '6S')", No pair ,0.0
"('6H', '4S', '3D', '2D', 'AH')", No pair ,0.6
"('KH', '2C', '5H', '7H', '3H')", No pair ,0.0
"('AC', '2S', '2D', '4S', 'KH')", One pair ,3.4
"('7H', '10C', '8S', '2D', '5H')", No pair ,0.0
"('4H', 'JD', '9C', '8H', '4D')", One pair ,5.0
"('4C', 'JS', '9D', '5C', 'QS')", No pair ,0.0
"('5S', '6H', 'QD', '2H', '9S')", No pair ,0.0
"('AC', '10S', '10H', '9D', '3S')", One pair ,28.2
"('9D', '3S', '6S', 'JH', '7S')", No pair ,0.0
"('5C', 'AD', '6S', '4H', '10C')", No pair ,0.6
"('KC', 'QH', '2C', '5S', 'KS')", One pair ,59.0
"('6S', 'QC', 'AH', 'AC', '4D')", One pair ,71.8
"('KS', '8D', 'QH', '7D', '6S')", No pair ,0.0
"('9C', '10C', '3C', 'AD', 'AC')", One pair ,63.4
"('5C', '6D', '9S', '8H', 'AD')", No pair ,0.6
"('3D', '3C', '7H', 'QH', '3S')", Three of a kind,86.2
"('AS', '2H', '9H', '7H', 'QC')", No pair ,0.6
"('10D', '10S', 'KS', '9C', '9S')", Two pair ,75.8
"('7H', '9S', '10S', '5C', 'AD')", No pair ,0.2
"('QD', '8S', 'AD', '2D', '10D')", No pair ,2.0
"('AC', '3D', 'JC', '2S', 'QD')", No pair ,1.4
"('3S', '4D', 'JH', '7C', '2H')", No pair ,0.0
"('9S', '10D', '10H', '2H', '7S')", One pair ,25.0
"('3D', '5S', 'QS', 'JC', '8C')", No pair ,0.0
"('9S', 'JH', '7S', 'JD', 'AH')", One pair ,37.4
"('6C', '10S', '8D', '9H', 'JD')", No pair ,0.0
"('KD', 'JH', '2C', '3D', '8D')", No pair ,0.0
"('9D', '5S', '6H', '3C', 'JH')", No pair ,0.0
"('8H', '5C', '7S', '5D', '2H')", One pair ,5.6
"('6S', '9D', '10D', 'QH', '5D')", No pair ,0.0
"('8D', '9D', 'QC', '6H', 'KD')", No pair ,0.0
"('8H', 'KH', '8S', '3C', '2S')", One pair ,15.4
"('QD', '3H', '9H', 'QC', '7C')", One pair ,44.0
"('KC', 'QS', '10S', '7D', '5C')", No pair ,0.0
"('KD', '4S', 'AD', 'QH', 'QC')", One pair ,61.8
"('5C', '4D', 'AS', 'QD', '2D')", No pair ,0.6
"('QH', 'JH', '2H', '3S', '10C')", No pair ,0.0
"('8D', '2S', 'KS', 'KH', '7D')", One pair ,53.6
"('9C', 'AC', 'JD', '2S', '8D')", No pair ,0.4
"('8S', 'QS', '7S', '7C', '6H')", One pair ,14.6
"('5D', 'QD', '5S', '4C', '7S')", One pair ,8.2
"('9C', '10C', '4H', '10H', 'KC')", One pair ,25.6
"('9S', '7C', 'KS', '5C', '5H')", One pair ,7.2
"('QC', '7D', 'JH', '10H', '9D')", No pair ,0.0
"('QD', 'AC', '4S', '7C', 'JC')", No pair ,2.0
"('6C', 'AS', 'QC', '3D', '9H')", No pair ,2.0
"('KH', '9H', 'AD', 'JS', '9S')", One pair ,31.0
"('3C', '5S', '5C', '4C', 'KD')", One pair ,6.6
"('6S', 'KS', '5D', 'AH', 'JC')", No pair ,2.6
"('5C', '6S', '3H', 'JD', '8S')", No pair ,0.0
"('4H', '2S', 'QD', '6S', '3C')", No pair ,0.0
"('3S', '7H', 'KC', '5H', 'KS')", One pair ,53.8
"('2D', 'KS', 'JH', '2H', '7S')", One pair ,3.4
"('7H', 'AH', '7D', '4C', '2C')", One pair ,12.8
"('4S', '6C', '7D', '7C', '4D')", One pair ,7.0
"('KD', 'KH', 'KC', 'QD', '10H')", Three of a kind,93.6
"('AS', '2H', '6S', '6C', 'KD')", One pair ,11.4
"('3D', '8D', '8S', '5D', 'AC')", One pair ,18.0
"('AS', 'QC', 'JC', '4D', '6D')", No pair ,2.0
"('2H', 'KC', '6H', '3S', 'QC')", No pair ,0.0
"('KD', 'KH', '9H', '10C', 'QC')", One pair ,59.6
"('5H', '6H', 'JD', '8S', 'KC')", No pair ,0.0
"('8D', '6H', '10H', '9C', 'QH')", No pair ,0.0
"('10D', 'AS', '3C', '9S', '6D')", No pair ,0.4
"('2S', '7C', '6D', '4H', '2H')", One pair ,2.0
"('6S', '3S', '4C', 'KH', '6H')", One pair ,8.4
"('QD', '5D', '9C', 'KH', 'AS')", No pair ,3.2
"('9C', '9S', '8C', '7C', '9H')", Three of a kind,88.0
"('4C', '10D', '3C', '3H', '10S')", One pair ,3.8
"('JD', 'AS', '3H', '10H', 'AC')", One pair ,71.8
"('AS', '8D', '4D', '2C', '4S')", One pair ,4.2
"('8D', '4H', '8C', 'KS', '9C')", One pair ,17.8
"('AH', '2S', 'JH', 'KS', 'AD')", One pair ,66.2
"('7C', '5S', '9C', 'KC', '6D')", No pair ,0.2
"('AC', '10S', '3H', '7S', '3D')", One pair ,4.6
"('AD', '3S', 'KD', 'QS', '6C')", No pair ,4.0
"('9H', '7C', '5C', '7H', '9C')", Two pair ,78.6
"('3D', '5S', '6H', '6S', '2C')", One pair ,7.8
"('QC', '9S', '9C', '6S', '2D')", One pair ,25.8
"('5S', 'KC', '2H', 'JD', 'AD')", No pair ,2.2
"('9D', '7D', '5C', '6D', 'AS')", No pair ,0.0
"('KH', 'QS', 'KD', '5D', 'AD')", One pair ,65.8
"('JS', 'JH', 'QC', '10C', '5D')", One pair ,37.8
"('7H', 'KS', '6H', '6C', '6S')", Three of a kind,92.6
"('3H', '8D', 'QD', 'KD', '2D')", No pair ,0.0
"('4D', '2C', '6S', '4C', '3C')", One pair ,4.8
"('QC', '7D', '6H', 'QH', '8D')", One pair ,48.0
"('2H', '8D', 'JC', '8C', '6C')", One pair ,21.0
"('9C', '6D', '8H', 'KH', '7C')", No pair ,0.0
"('8S', 'QD', 'JC', '9D', 'AH')", No pair ,3.0
"('JC', '6D', '6C', 'QD', '2C')", One pair ,11.2
"('8H', '2H', 'JD', '3H', 'QD')", No pair ,0.0
"('6D', '4S', 'JD', '8C', '6H')", One pair ,11.2
"('8S', 'QS', '8C', '10S', '2D')", One pair ,17.6
"('3S', 'QH', '3H', 'AC', '9D')", One pair ,4.8
"('10C', '5D', '10D', '2D', '4D')", One pair ,20.6
"('10H', 'JH', '3D', '5H', '6H')", No pair ,0.0
"('9C', '2D', '6S', 'AC', 'JS')", No pair ,0.6
"('10C', '3C', '4C', '4D', '5H')", One pair ,5.0
"('AD', 'JD', '3S', '2C', 'KS')", No pair ,1.8
"('2D', 'KD', '2H', '5S', '3S')", One pair ,3.6
"('3C', '2S', '4H', '2C', '7D')", One pair ,2.6
"('6H', '6D', '3D', '2D', 'JD')", One pair ,7.2
"('4S', 'JH', 'JD', '2D', '7H')", One pair ,31.6
"('9S', 'KD', '7D', '8S', 'KS')", One pair ,55.0
"('10H', '8D', '4S', '5D', '4H')", One pair ,4.6
"('QC', '10D', '3C', 'KC', 'QH')", One pair ,48.2
"('10C', '2D', '3H', 'KH', 'KC')", One pair ,53.2
"('4H', '7C', '7S', '5S', 'JC')", One pair ,13.2
"('4D', '8S', 'QS', '3S', '9H')", No pair ,0.0
"('8S', 'AH', '2H', '7C', 'KS')", No pair ,3.4
"('6S', 'AS', '5D', 'QC', '2C')", No pair ,1.2
"('JD', '9D', '8S', '6D', 'KS')", No pair ,0.2
"('2S', 'AS', '4S', '3D', '10D')", No pair ,0.0
"('3D', '8H', '2H', '9H', '7H')", No pair ,0.0
"('JC', '5C', '8S', '4H', '7S')", No pair ,0.0
"('10C', '3D', 'KH', '4D', '8C')", No pair ,0.0
"('8C', '5D', '8S', '2H', 'KD')", One pair ,15.6
"('10C', 'QD', 'AH', '6C', '3D')", No pair ,1.8
"('AC', '4D', 'KD', 'KH', '5D')", One pair ,60.8
"('JH', 'QC', '2D', 'JS', '4S')", One pair ,33.2
"('KD', '6D', '6H', 'JD', 'AC')", One pair ,13.6
"('2S', '6H', 'AS', 'AC', '2D')", One pair ,2.6
"('KH', '7D', '9S', '4H', '6S')", No pair ,0.2
"('9H', 'QH', '3S', '4D', 'QD')", One pair ,41.8
"('8S', '4S', 'JC', '7C', 'KD')", No pair ,0.2
"('5D', 'JS', 'QC', 'KC', '7H')", No pair ,0.2
"('QH', 'QD', '2C', '2H', '9D')", One pair ,3.6
"('KH', '9D', '2S', 'QS', '2H')", One pair ,2.4
"('3H', 'AS', 'KC', '7C', '2H')", No pair ,2.8
"('2S', 'KD', '3H', '4S', '4H')", One pair ,3.4
"('10D', 'AS', 'AD', '10S', 'QC')", One pair ,36.0
"('4C', '10C', 'JS', '6S', '9S')", No pair ,0.0
